"country","SFTGcode","COW","risk_in_2020","risk_in_2020_21","anymk.ongoing","anymk.ever","reg.afr","reg.eap","reg.eur","reg.mna","reg.sca","countryage.ln","popsize.ln.combined","imr.sqrt","gdppcgrowth.combined","ios.iccpr1","includesnonstate","minorityrule","elf.ethnic","battledeaths.ln","candidaterestriction","partyban","judicialreform","religiousfreedom","pol_killing_approved","freemove_men4","freemove_women4","freediscussion","social_inequality","even_civilrights","repress_civilsoc","social_power_dist","ses_power_dist","tradeshare.ln.combined","coup.try.5yr"
"North Korea","PRK",731,0.0085,0.01133,1,1,0,1,0,0,0,4.27666611901606,17.059799360288,4.47213595499958,-0.0165809033733562,0,1,1,0.04,0,1,0,1,1,1,0,0,0.022,0,1,1,1,-1.14,-2.84196588061864,0
"United Arab Emirates","UAE",696,0.008015,0.0146,0,0,0,0,0,1,0,3.89182029811063,16.094881167896,2.54950975679639,1.67772037080395,0,1,1,0.63,0,1,1,1,3,0,0,0,0.38,0,0,0,1,-0.84,5.08100734757848,0
"Liberia","LBR",450,0.008006,0.01582,0,1,1,0,0,0,0,5.15329159449778,15.4123441688786,7.3143694191639,-2.27824512534819,0,1,0,0.91,0,1,4,1,4,0,1,1,0.77,0,0,0,1,1.018,4.84774198776667,0
"Algeria","ALG",615,0.007951,0.01695,0,1,0,0,0,1,0,4.06044301054642,17.5779437270884,4.48330235429198,0.799999999999997,1,1,0,0.34,0,1,3,1,2,0,1,1,0.618,0,0,0,0,0.682,3.95210439760074,0
"Zimbabwe","ZIM",552,0.007876,0.02115,0,1,1,0,0,0,0,3.68887945411394,16.4996414940325,5.82237065120386,-8.10000019886094,0,1,1,0.39,0,1,4,1,4,1,1,1,0.275,0,1,0,1,-0.327,3.91213022850182,1
"Zambia","ZAM",551,0.007825,0.01258,0,0,1,0,0,0,0,4.02535169073515,16.6981318025224,6.35609943282828,1.70579287476636,1,1,0,0.78,0,1,4,1,4,0,1,1,0.811,0,0,0,1,0.443,4.24899561322262,0
"Ukraine","UKR",369,0.007684,0.008896,0,0,0,0,1,0,0,3.36729582998647,17.6084156246492,2.73861278752583,3.23349118845559,1,1,0,0.47,5.45958551414416,0,3,1,3,0,1,1,0.656,0,0,0,0,-1.077,4.50173880980407,0
"Bolivia","BOL",145,0.007555,0.009627,0,0,0,0,0,0,0,5.27299955856375,16.2589960754515,4.6690470119715,2.21670710143222,1,1,0,0.74,0,1,4,1,4,0,0,0,0.626,0,1,0,0,1.385,4.03242140270756,0
"Mexico","MEX",70,0.007497,0.0103,0,0,0,0,0,0,0,5.29330482472449,18.6642191314862,3.3166247903554,-0.145602324756538,1,1,0,0.54,0,1,4,1,4,0,1,1,0.89,0,0,0,0,1.074,4.35896233139485,0
"Peru","PER",135,0.007177,0.0121,0,1,0,0,0,0,0,4.94875989037817,17.2970722263571,3.33166624979154,2.1501313906839,1,1,0,0.66,0,1,4,2,4,0,1,1,0.904,0,0,0,1,1,3.85273770374198,0
"Haiti","HAI",41,0.006974,0.01187,0,1,0,0,0,0,0,5.37527840768417,16.2370404115509,7.03562363973514,-0.934870010359219,0,1,1,0.1,0,1,4,1,4,0,1,1,0.819,0,0,0,1,-0.99,4.30822553518924,0
"Guatemala","GUA",90,0.006792,0.01073,0,1,0,0,0,0,0,5.19849703126583,16.6251557540416,4.70106370941726,3.84599785330366,1,1,1,0.51,0,1,4,1,4,0,1,1,0.725,1,0,0,1,-0.164,3.82571490731476,0
"Senegal","SEN",433,0.006791,0.009351,0,0,1,0,0,0,0,4.0943445622221,16.6064525734091,5.63914887194867,5.27119235758356,1,1,0,0.69,0,1,4,1,3,0,1,1,0.883,0,0,0,0,0.679,4.10274918515946,0
"Togo","TOG",461,0.006737,0.009247,0,0,1,0,0,0,0,4.0943445622221,15.9051952094155,6.8847657912234,5.31253500494988,1,1,0,0.71,0,0,4,2,4,0,1,1,0.357,0,0,0,0,-0.136,4.26606925911308,0
"Democratic Republic of Vietnam","VIE",816,0.006718,0.008435,0,1,0,1,0,0,0,3.78418963391826,18.3846608052509,4.06201920231798,7.0174348821878,0,1,0,0.24,0,1,0,2,2,0,1,1,0.41,0,0,0,1,0.123,5.34901164661029,0
"Comoros","COM",581,0.00671,0.007209,0,0,1,0,0,0,0,3.80666248977032,13.6540334385351,7.16240183178799,2.71525946491546,0,1,0,0,0,1,3,1,2,0,0,0,0.38,0,0,0,0,1.599,3.76339587356851,0
"Sri Lanka","SRI",780,0.006596,0.01198,0,1,0,0,0,0,1,3.87120101090789,16.8975581329702,2.5298221281347,2.283465301232,1,1,0,0.42,0,1,4,0,3,0,1,1,0.781,0,0,0,1,0.702,3.95835039808751,0
"United States of America","USA",2,0.006521,0.01009,0,0,0,0,0,0,0,5.46806014113513,19.6092541528922,2.36643191323985,2.33357749194299,0,1,0,0.49,3.63758615972639,1,4,1,4,0,1,1,0.876,0,1,0,0,0.581,3.31403627779679,0
"Turkmenistan","TKM",701,0.006469,0.006515,0,0,0,0,0,0,1,3.36729582998647,15.5975713130144,6.26897120746299,0.065,1,1,1,0.39,0,1,0,1,1,0,0,0,0.14,0,1,0,1,-0.969,3.56000551027433,0
